post_id,post_url,post_text,profile_id,profile_name,profile_url,post_views
EdJkJrCFmdk,https://www.youtube.com/shorts/EdJkJrCFmdk,#Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,364000
vQRTP6SQ1co,https://www.youtube.com/shorts/vQRTP6SQ1co,he got SO defensive 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,312000
uYehEWUR5tQ,https://www.youtube.com/shorts/uYehEWUR5tQ,Bro had ENOUGH. 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,474000
kJnxXyVGOeI,https://www.youtube.com/shorts/kJnxXyVGOeI,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,492000
sKo1rhsUC60,https://www.youtube.com/shorts/sKo1rhsUC60,they don’t age 🥹 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3800000
jFtnCqc5ncA,https://www.youtube.com/shorts/jFtnCqc5ncA,Single handedly bringing this trend back 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,796000
nBV8PnTUNDA,https://www.youtube.com/shorts/nBV8PnTUNDA,Bringing back this trend 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3100000
rObKp96sRc0,https://www.youtube.com/shorts/rObKp96sRc0,Dad rating my mom’s accent 😳😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3000000
tDaoAs1WBJo,https://www.youtube.com/shorts/tDaoAs1WBJo,done it again @jepitot_03  head over to my ig for more! #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,401000
ZkOSEHAoJdM,https://www.youtube.com/shorts/ZkOSEHAoJdM,NO WAY 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,966000
wSILIrl7j_o,https://www.youtube.com/shorts/wSILIrl7j_o,PLEASE wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,544000
saIp1IVxz1E,https://www.youtube.com/shorts/saIp1IVxz1E,#ad This took FOREVER 😭 @bathandbodyworks,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,672000
mFVSzAhjD4E,https://www.youtube.com/shorts/mFVSzAhjD4E,always SO dramatic 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2800000
POBTuabpHfc,https://www.youtube.com/shorts/POBTuabpHfc,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,9300000
c_68xYroasE,https://www.youtube.com/shorts/c_68xYroasE,uh oh… #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,580000
uR1ULV3vKlw,https://www.youtube.com/shorts/uR1ULV3vKlw,I’m sorry little one 😔 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,640000
tcBf-FzMRdk,https://www.youtube.com/shorts/tcBf-FzMRdk,Wait for it 😳 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,4900000
W6gHmaLdF3U,https://www.youtube.com/shorts/W6gHmaLdF3U,WHAT IS HAPPENING?! #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,789000
VCeTD_yBElo,https://www.youtube.com/shorts/VCeTD_yBElo,WHAT. 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,835000
yR33fQUMjTE,https://www.youtube.com/shorts/yR33fQUMjTE,#Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1400000
9VMm4eQv9Jk,https://www.youtube.com/shorts/9VMm4eQv9Jk,The results #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,33000000
zfs55GtAV0g,https://www.youtube.com/shorts/zfs55GtAV0g,this took SO many tries 😭#Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,15000000
DxuOxC_9kag,https://www.youtube.com/shorts/DxuOxC_9kag,Nailed it. #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,944000
Vl-kXxh0y3E,https://www.youtube.com/shorts/Vl-kXxh0y3E,How’d we do? 😅 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5200000
z2nH5ymweq0,https://www.youtube.com/shorts/z2nH5ymweq0,NO WAY IT WORKED 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2000000
yvzkyy0eiy4,https://www.youtube.com/shorts/yvzkyy0eiy4,How long did you last? 🤣 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3000000
5VYq3Q6iwNU,https://www.youtube.com/shorts/5VYq3Q6iwNU,Always SO dramatic 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,4300000
MFGiI_bR6RE,https://www.youtube.com/shorts/MFGiI_bR6RE,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,21000000
QLHmkw8S9-U,https://www.youtube.com/shorts/QLHmkw8S9-U,Dad rating my uncle’s accent 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,12000000
QI7yd97Fe5o,https://www.youtube.com/shorts/QI7yd97Fe5o,NO WAY 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5500000
xDgUCBHqki8,https://www.youtube.com/shorts/xDgUCBHqki8,They got us good 🙄 #HayDayPartner,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1700000
2r43trL5xdk,https://www.youtube.com/shorts/2r43trL5xdk,NO WAY 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3300000
jY8V2wHmKLw,https://www.youtube.com/shorts/jY8V2wHmKLw,uh oh… 🙄 head over to my ig for more! #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,7600000
VBJhbPXJsJM,https://www.youtube.com/shorts/VBJhbPXJsJM,NO WAY😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,6300000
W_ZarR8T8uA,https://www.youtube.com/shorts/W_ZarR8T8uA,HE’S BACK! #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2900000
UH6Zj-4WuRk,https://www.youtube.com/shorts/UH6Zj-4WuRk,The night routine.  #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2800000
A0-b-pP-tnY,https://www.youtube.com/shorts/A0-b-pP-tnY,DADDY……? @jepitot_03  #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1300000
P5K9AguvOdY,https://www.youtube.com/shorts/P5K9AguvOdY,Oh my… #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,7200000
PvfdI2-HSZs,https://www.youtube.com/shorts/PvfdI2-HSZs,NO WAY 😭 head over to my ig for more! #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3500000
5LWHOgtb1NE,https://www.youtube.com/shorts/5LWHOgtb1NE,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3800000
yXwLU2JkTJ4,https://www.youtube.com/shorts/yXwLU2JkTJ4,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,16000000
awHUqMB-3YA,https://www.youtube.com/shorts/awHUqMB-3YA,this took SO long😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,15000000
83MRAXGer2Q,https://www.youtube.com/shorts/83MRAXGer2Q,this took us SO long to film 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1700000
8YJiVHfEbEY,https://www.youtube.com/shorts/8YJiVHfEbEY,this took SO long 😭#Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,7000000
p4T-cl248bk,https://www.youtube.com/shorts/p4T-cl248bk,Thank you for understanding ❤️ #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,22000000
eYD_iRQvpnw,https://www.youtube.com/shorts/eYD_iRQvpnw,NO WAY 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,14000000
bJe9B9kng0w,https://www.youtube.com/shorts/bJe9B9kng0w,wait for it 😂 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,4000000
olfWHl_yeZI,https://www.youtube.com/shorts/olfWHl_yeZI,WHAT. WAS. THAT. 😭 #Shorts,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5700000
