post_id,post_url,post_text,profile_id,profile_name,profile_url
7IUUyDqKYDM,https://www.youtube.com/shorts/7IUUyDqKYDM,Citizen TV Live,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
-QnZY2mcb-g,https://www.youtube.com/shorts/-QnZY2mcb-g,Funeral of the late Benard Ndung'u Njenga,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
yxOQzsB54Jc,https://www.youtube.com/shorts/yxOQzsB54Jc,CitizenTV Live: The Launch of  Dr. Frank Njenga's autobiography,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
du1t6O9eMDs,https://www.youtube.com/shorts/du1t6O9eMDs,CitizenTV Live: The Launch of  Dr. Frank Njenga's autobiography,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
AiJkLsOAPZQ,https://www.youtube.com/shorts/AiJkLsOAPZQ,Former DP Gachagua hosts opposition leaders in his Wamunyoro home in Nyeri,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
dSzect48sPI,https://www.youtube.com/shorts/dSzect48sPI,FUNERAL SERVICE FOR COL. (RTD) JAMES NGUYO GITAHI,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
FzfD-R5HM6k,https://www.youtube.com/shorts/FzfD-R5HM6k,CitizenTV Live: FUNERAL SERVICE FOR COL. (RTD) JAMES NGUYO GITAHI,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
yS9XTaU_274,https://www.youtube.com/shorts/yS9XTaU_274,CitizenTV Live: A Letter from America,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
1tAikQycLAI,https://www.youtube.com/shorts/1tAikQycLAI,"""Ruto is the most corrupt person in the world,"" Kalonzo Musyoka claims [FULL INTERVIEW]",UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
DTsnn3YdzUw,https://www.youtube.com/shorts/DTsnn3YdzUw,"Safaricom Hook Talent Show at Masinde Muliro University, Kakamega",UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
pyE6JBOP-Hk,https://www.youtube.com/shorts/pyE6JBOP-Hk,Open University of Kenya 1st Graduation Ceremony,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
0c_T28GMJHI,https://www.youtube.com/shorts/0c_T28GMJHI,Open University of Kenya 1st Graduation Ceremony,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
4AiJrJMGxcE,https://www.youtube.com/shorts/4AiJrJMGxcE,Open University of Kenya 1st Graduation Ceremony,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
swcVFMu4kE0,https://www.youtube.com/shorts/swcVFMu4kE0,Kenya Mining Investment Conference and Expo 2024,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
OUE5U8qIvFo,https://www.youtube.com/shorts/OUE5U8qIvFo,CITIZEN TV LIVE | Kenya Mining Investment Conference and Expo 2024,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
gVmhnmxq_ok,https://www.youtube.com/shorts/gVmhnmxq_ok,"4th Africa Sub-Sovereign Network Conference, Kisumu",UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
OB8oqC6pzic,https://www.youtube.com/shorts/OB8oqC6pzic,Tricent College Graduation,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
RCKW2vl5sWA,https://www.youtube.com/shorts/RCKW2vl5sWA,Safaricom S-hook Circle Praktiklz at Nakuru Athletics Club,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
4mr5Ic8QSIE,https://www.youtube.com/shorts/4mr5Ic8QSIE,St. Paulâ€™s University 33rd Graduation Ceremony,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
MgbkgJVkonw,https://www.youtube.com/shorts/MgbkgJVkonw,CitizenTV Live,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
tTsUn64ie-g,https://www.youtube.com/shorts/tTsUn64ie-g,AWARD CEREMONY 'LADHA ZA AFRICA',UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
_kmXw8d16HY,https://www.youtube.com/shorts/_kmXw8d16HY,Samsung Galaxy Unpacked,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
3r9ENOhfnjM,https://www.youtube.com/shorts/3r9ENOhfnjM,"Game Plan 2017:Do you believe the August 8th polls will be free, fair and transparent?",UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
yu-SIgdihv8,https://www.youtube.com/shorts/yu-SIgdihv8,"Game Plan 2017:Do you believe the August 8th polls will be free, fair and transparent?",UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
s6_fHQVIgPU,https://www.youtube.com/shorts/s6_fHQVIgPU,Citizen Extra: Adopt-A-Poll,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
NX1eRAV6h84,https://www.youtube.com/shorts/NX1eRAV6h84,Citizen Extra: NASA Endorses Mandago,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
sQayjEOfPf8,https://www.youtube.com/shorts/sQayjEOfPf8,JKL: One on One with PK #JKLive [part 2],UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
qAWLlvplM9U,https://www.youtube.com/shorts/qAWLlvplM9U,JKL: One on One with PK #JKLive [part 1],UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
7GUZYq_nyfQ,https://www.youtube.com/shorts/7GUZYq_nyfQ,NASA Presidential Candidate Raila Odinga Full Speech during the Presidential Debate 24/07/2017,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
jkQkLvooFc8,https://www.youtube.com/shorts/jkQkLvooFc8,Independent candidates debate,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g
