post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,reaction_count
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,1749538413,UCROYT8xXAjDM25hjSNMny2Q,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,401,530"
7TtV-f_m6Qg,https://www.youtube.com/watch?v=7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",1654930413,UCDDx4lwzZk5uZBwTunBI2CA,Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA,"4,903,424"
Sgvl4iRY8PQ,https://www.youtube.com/watch?v=Sgvl4iRY8PQ,HOW DID THEY DO IT?! Unexplainable Magic That Stumped Everyone! | America's Got Talent,1746946413,UCT2X19JJaJGUN7mrYuImANQ,America's Got Talent,https://www.youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,"423,234"
x5YP_oLcgpg,https://www.youtube.com/watch?v=x5YP_oLcgpg,MAGIC! - Let Your Hair Down (Official Video),1434178413,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"59,984,906"
1nbEyaIDYVY,https://www.youtube.com/watch?v=1nbEyaIDYVY,MIND BLOWING Magic on America's Got Talent!,1739170413,UCe_Fx4EZAgKjDz0aQ_Y7hSA,Got Talent Global,https://www.youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA,"728,910"
PIh2xe4jnpk,https://www.youtube.com/watch?v=PIh2xe4jnpk,MAGIC! - Rude (Official Video),1402642413,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"2,573,394,308"
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,1591858413,UCE-I7YO3WHKGpqMTWWHDWSg,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,645,300"
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,1726210413,UCeBWh-0p7vgBeD6HOHBpfwQ,Top 10 Talent,https://www.youtube.com/channel/UCeBWh-0p7vgBeD6HOHBpfwQ,"342,615"
vLsNPQRk5ds,https://www.youtube.com/watch?v=vLsNPQRk5ds,The Magic Of Ordinary Days (2005) - Keri Russel and Skeet Ulrich,1654930413,UCps20-Bv9Nc35vEroztgNYg,itspinkuepink,https://www.youtube.com/channel/UCps20-Bv9Nc35vEroztgNYg,"5,513,861"
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",1748328813,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw,"12,798,434"
ASGgn8bNQuA,https://www.youtube.com/watch?v=ASGgn8bNQuA,Pilot - It's Magic â€¢ TopPop,1465714413,UCxjzlr0hdKWfIwK2lY0SvEg,TopPop,https://www.youtube.com/channel/UCxjzlr0hdKWfIwK2lY0SvEg,"15,898,958"
uua-9WFghbc,https://www.youtube.com/watch?v=uua-9WFghbc,Eden Choi's IMPOSSIBLE magic will have you questioning EVERYTHING! | Auditions | BGT 2025,1744354413,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,https://www.youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,"3,458,800"
vY7mHqFi_Kk,https://www.youtube.com/watch?v=vY7mHqFi_Kk,Future - Magic ft. T.I.,1339570413,UCSDvKdIQOwTfcyOimSi9oYA,Future,https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA,"33,443,630"
1PvBc2TOpE4,https://www.youtube.com/watch?v=1PvBc2TOpE4,Coldplay - Magic (Official Audio),1402642413,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"63,125,163"
Qtb11P1FWnc,https://www.youtube.com/watch?v=Qtb11P1FWnc,Coldplay - Magic (Official Video),1402642413,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"244,277,588"
h6o38MN8yqE,https://www.youtube.com/watch?v=h6o38MN8yqE,Magic (2003 Remaster),1749538413,UCyIaCKUFQ5qUj08vaQa3Qog,Pilot - Topic,https://www.youtube.com/channel/UCyIaCKUFQ5qUj08vaQa3Qog,"4,386,632"
6r3NbxSSJLc,https://www.youtube.com/watch?v=6r3NbxSSJLc,MAGIC! - Lay You Down Easy (Studio Version) ft. Sean Paul,1465714413,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"31,102,898"
KtIMWDgopH4,https://www.youtube.com/watch?v=KtIMWDgopH4,This guy is an insane magician ðŸ˜³ðŸ¥¶ #shorts #magic #bgt #trending,1744354413,UCgNxl1L22_1LVbQmQ6J23tQ,MediaOcity,https://www.youtube.com/channel/UCgNxl1L22_1LVbQmQ6J23tQ,"27,509,691"
HdobynnfKQE,https://www.youtube.com/watch?v=HdobynnfKQE,MAGIC! - No Way No (Official Video),1434179638,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"128,302,923"
7TtV-f_m6Qg,https://www.youtube.com/watch?v=7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",1654931638,UCDDx4lwzZk5uZBwTunBI2CA,Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA,"4,903,467"
Sgvl4iRY8PQ,https://www.youtube.com/watch?v=Sgvl4iRY8PQ,HOW DID THEY DO IT?! Unexplainable Magic That Stumped Everyone! | America's Got Talent,1746947638,UCT2X19JJaJGUN7mrYuImANQ,America's Got Talent,https://www.youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,"423,311"
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",1748330038,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw,"12,800,411"
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,1726211638,UCeBWh-0p7vgBeD6HOHBpfwQ,Top 10 Talent,https://www.youtube.com/channel/UCeBWh-0p7vgBeD6HOHBpfwQ,"342,615"
Qtb11P1FWnc,https://www.youtube.com/watch?v=Qtb11P1FWnc,Coldplay - Magic (Official Video),1402643638,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"244,277,769"
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,1749539638,UCROYT8xXAjDM25hjSNMny2Q,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,401,863"
vY7mHqFi_Kk,https://www.youtube.com/watch?v=vY7mHqFi_Kk,Future - Magic ft. T.I.,1339571638,UCSDvKdIQOwTfcyOimSi9oYA,Future,https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA,"33,443,667"
uua-9WFghbc,https://www.youtube.com/watch?v=uua-9WFghbc,Eden Choi's IMPOSSIBLE magic will have you questioning EVERYTHING! | Auditions | BGT 2025,1744355638,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,https://www.youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,"3,459,014"
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,1591859638,UCE-I7YO3WHKGpqMTWWHDWSg,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,645,831"
x5YP_oLcgpg,https://www.youtube.com/watch?v=x5YP_oLcgpg,MAGIC! - Let Your Hair Down (Official Video),1434179638,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"59,984,955"
1PvBc2TOpE4,https://www.youtube.com/watch?v=1PvBc2TOpE4,Coldplay - Magic (Official Audio),1402643638,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"63,125,221"
DnkHf069fvA,https://www.youtube.com/watch?v=DnkHf069fvA,Olivia Newton-John - Magic,1276499638,UC4KfZeX3qk--zTKXDP2X3JQ,Ignazio Deddu,https://www.youtube.com/channel/UC4KfZeX3qk--zTKXDP2X3JQ,"14,168,336"
zJubkL44ei0,https://www.youtube.com/watch?v=zJubkL44ei0,Even More AWESOME NEW Disneyland 70th Anniversary Food! |Disneyland Resort 2025,1749492838,UCq_88QrBgrNgaeIkJZBC8SQ,Magic Journeys,https://www.youtube.com/channel/UCq_88QrBgrNgaeIkJZBC8SQ,"28,783"
Cq-NShfefks,https://www.youtube.com/watch?v=Cq-NShfefks,B.o.B - Magic (feat. Rivers Cuomo) [Official Video],1308035638,UCpuvu8mrEO4jxjT6sRwE8tg,B.o.B,https://www.youtube.com/channel/UCpuvu8mrEO4jxjT6sRwE8tg,"61,592,131"
HLEZYcpoIN4,https://www.youtube.com/watch?v=HLEZYcpoIN4,KOUZ1 - Magic (Official video lyrics),1654931638,UC34Z3KmZ-qH8e0wtKSl016A,KOUZ1,https://www.youtube.com/channel/UC34Z3KmZ-qH8e0wtKSl016A,"78,744,693"
QGeaD52guSA,https://www.youtube.com/watch?v=QGeaD52guSA,I was wrong about this trick ðŸ˜§ (true magic?),1686467638,UCeeHYKSxJPk0Hv2v-LLTdmg,Oscar Owen Magic,https://www.youtube.com/channel/UCeeHYKSxJPk0Hv2v-LLTdmg,"60,724,887"
DbP3f_a1s0s,https://www.youtube.com/watch?v=DbP3f_a1s0s,Magic,1749539638,UCuHyAQrWCAT4jWnymKtgWrA,Charlie Wilson,https://www.youtube.com/channel/UCuHyAQrWCAT4jWnymKtgWrA,"18,778,297"
