post_id,post_url,comment_count,comment_id,comment_text,comment_time,comment_reaction_count,commenter_name,commenter_url,commenter_id,reply_count
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugw2XoDbT7GcerDYiZV4AaABAg,omg i need it on spotify it is amazing,1655617793,4,alicedtrbs,https://www.youtube.com/channel/UCd_tBP3WWJhC01dh0P3WW9Q,UCd_tBP3WWJhC01dh0P3WW9Q,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgwNNEBRWC5zZ4334Vh4AaABAg,this is a remix! brilliant,1529473793,8,aerotiquemusic,https://www.youtube.com/channel/UCbuxvgpYB6aSvhetPivrBsQ,UCbuxvgpYB6aSvhetPivrBsQ,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugy4Wkn9UyNldNKUvMJ4AaABAg,Magnificent remix + anything with Drake = JAM Super summer vibe. Time to open a Corona and pop a lime and  watch the sunset. 🌞🌴💃🎶🎼🎤🎧🎤🎵🎵👐👊👍🔥🔥🔥🔥🔥🔥🔥🔥✌❤😁,1592545793,2,alfredoosiel1,https://www.youtube.com/channel/UCOkXaivTQf5NERcvf5uY_gw,UCOkXaivTQf5NERcvf5uY_gw,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgxUbsWYIMmKLypkU4B4AaABAg,Club renos albufeira with the boiiis,1592545793,18,bverstegen14,https://www.youtube.com/channel/UC8WNyOuGDzoT8VSSlg-bzSg,UC8WNyOuGDzoT8VSSlg-bzSg,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugzxjg7dClJ2tReWohd4AaABAg,"Sick remix, such a shame it's not the studio acapella",1687153793,2,Fhn_97,https://www.youtube.com/channel/UC0uuNN85n_gu6HCnbhprzsg,UC0uuNN85n_gu6HCnbhprzsg,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz2KDX7qa_74B8zqtd4AaABAg,Lovely remix this summer all over it,1529473793,5,tezhogan2119,https://www.youtube.com/channel/UCs86EuhmjGpzQ3dZcttSsxA,UCs86EuhmjGpzQ3dZcttSsxA,1
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugzn7DfOprU6YNIu9xB4AaABAg,I want this on spotify bro,1561009793,10,diegoalasmagana6577,https://www.youtube.com/channel/UC2aTfua6VSgVnvUbQvZJzVg,UC2aTfua6VSgVnvUbQvZJzVg,2
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugzizff1RLn0DVr0tRZ4AaABAg,Instrumental of this would be amazing,1592545793,11,zfish1995,https://www.youtube.com/channel/UCk4fkr5RhV0QhYpps4GZ62g,UCk4fkr5RhV0QhYpps4GZ62g,1
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugwjgu_DY4-HadxMwJx4AaABAg,wow felt like the video went straight to the drop from the first second ! even the intro is super catchy !,1529473793,20,stephanovskyy,https://www.youtube.com/channel/UCcE9T79-t72v7rb7oLmRxHw,UCcE9T79-t72v7rb7oLmRxHw,1
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgzBzTvmK6tD00s9fAJ4AaABAg,"This is hot, old school/new school all in one.",1592545793,3,liz6445,https://www.youtube.com/channel/UCHQi02_mQcO3TbuGhkIFXgw,UCHQi02_mQcO3TbuGhkIFXgw,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgxOdTYGdpKOCCtppS54AaABAg,Sucks this isn’t on Spotify. I just discovered this remix on radio.,1592545793,29,KingAndrew20,https://www.youtube.com/channel/UCFO3ZrTc_x4KLOJl5drcC1g,UCFO3ZrTc_x4KLOJl5drcC1g,3
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugx1ZPGvva8cRfkYT-B4AaABAg,This is A M A Z I N G,1592545793,2,maxi30081998,https://www.youtube.com/channel/UCXYnxhNz7r0G9or-axPAlUg,UCXYnxhNz7r0G9or-axPAlUg,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz0VxTeUSETReUuL7F4AaABAg,Nice groove vibes :D,1529473793,5,TipsyRecords1,https://www.youtube.com/channel/UCWDZ7yyxxyeXncIcdgdLspA,UCWDZ7yyxxyeXncIcdgdLspA,1
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgyI_zAtT0CXeu7l4fZ4AaABAg,Tuuuuuuune! ❤,1624081793,1,alsm7590,https://www.youtube.com/channel/UCYHqK71x8axHpcMKw1zfIrg,UCYHqK71x8axHpcMKw1zfIrg,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgzjOITluqA6gZnWmpJ4AaABAg,o dam thats good. Shame about the isolated vocal but you gotta work with what you got sometimes. Still the best ive heard 😍,1529473793,5,rickybe,https://www.youtube.com/channel/UC-us8aNZkWmq-kJfNDnjNmw,UC-us8aNZkWmq-kJfNDnjNmw,3
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgzD2-6dWC9P7VTJU9V4AaABAg,Since when was this added to Protonjon’s Jet Set Radio Future playlist?,1687153793,2,theminiyosshi2901,https://www.youtube.com/channel/UCw-1i-Dt8zVzegCgCx30CnQ,UCw-1i-Dt8zVzegCgCx30CnQ,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz7UXTPqAdFvX52FF14AaABAg,Dank track!!,1561009793,3,imurmaster1,https://www.youtube.com/channel/UCvdPZWzBUjMk2K9ALQTA9Cw,UCvdPZWzBUjMk2K9ALQTA9Cw,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugyih-ogAOlbWEyIfGN4AaABAg,good remix,1561009793,2,DJTRANSACTION,https://www.youtube.com/channel/UCM1cmyaZye17J8v75KmW0CA,UCM1cmyaZye17J8v75KmW0CA,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgwPvlaqnlcppgqvW_x4AaABAg,Definitely a door track. The acapella is a bit tinny but other than that it slaps.,1718689793,1,dramaghost999,https://www.youtube.com/channel/UCraBbD6n-uuG9fJLRNktHVw,UCraBbD6n-uuG9fJLRNktHVw,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz4aOFx4sehPO_kkKV4AaABAg,The original was too slow and thread bare for my taste. This remix is so much better 😂,1561009793,6,StrongSpottedDoe,https://www.youtube.com/channel/UCD86pbt7u9ySl7S6n1nGG_A,UCD86pbt7u9ySl7S6n1nGG_A,1
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgynbgedvckP6MhArS54AaABAg,Yo 1sec u're back at summmer timezz haha,1592545794,1,maxi30081998,https://www.youtube.com/channel/UCXYnxhNz7r0G9or-axPAlUg,UCXYnxhNz7r0G9or-axPAlUg,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,UgwTwnIZwmOGoju5m7B4AaABAg,How can I purchase this edit!!!????,1718689794,1,Brink33,https://www.youtube.com/channel/UCr7valwZSWARvtscO2hMS7Q,UCr7valwZSWARvtscO2hMS7Q,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugy-nDutl1WA4YMxmvB4AaABAg,Nice remix but 0:25 u got 2 Voic 😅😅,1718689794,1,kevinalfaro3169,https://www.youtube.com/channel/UClg54KbqMHeBnTxZ8oKhmoQ,UClg54KbqMHeBnTxZ8oKhmoQ,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugx2FP3mIXCByIMOePt4AaABAg,why cut out the 16 bar intro,1687153794,1,kmyeaa,https://www.youtube.com/channel/UCoAxSyvMbiC5acAm-lw5Enw,UCoAxSyvMbiC5acAm-lw5Enw,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz4hjPSJGXjdR_hzip4AaABAg,Elle est teh fou cela nehshetan,1655617794,1,nassimkoraiche1413,https://www.youtube.com/channel/UCnEf4vQbwC_nrhcX4vdrU9g,UCnEf4vQbwC_nrhcX4vdrU9g,0
cKkb5tperxc,https://www.youtube.com/watch?v=cKkb5tperxc,41,Ugz2np0Gt5WrJHw9D514AaABAg,No offense but this is a BTech remix,1592545794,1,GamingKide,https://www.youtube.com/channel/UCmGtDOaBytiLzuwqcldf04g,UCmGtDOaBytiLzuwqcldf04g,2
